year,state,state_po,totalvotes
2018,KENTUCKY,KY,1569798
2018,LOUISIANA,LA,1460593
2018,MAINE,ME,623424
2018,MARYLAND,MD,2286120
2018,MASSACHUSETTS,MA,2485081
2018,MICHIGAN,MI,4154703
2018,MINNESOTA,MN,2576996
2018,MISSISSIPPI,MS,938903
2018,MISSOURI,MO,2418413
2018,MONTANA,MT,504421
2018,NEBRASKA,NE,696570
2018,NEVADA,NV,960774
2018,NEW HAMPSHIRE,NH,570744
2018,NEW JERSEY,NJ,3098743
2018,NEW MEXICO,NM,693311
2018,NEW YORK,NY,5948673
2018,NORTH CAROLINA,NC,3663326
2018,NORTH DAKOTA,ND,321532
2018,OHIO,OH,4406358
2018,OKLAHOMA,OK,1178836
2018,OREGON,OR,1847646
2018,PENNSYLVANIA,PA,4929875
2018,RHODE ISLAND,RI,373280
2018,SOUTH CAROLINA,SC,1709292
2018,SOUTH DAKOTA,SD,335471
2018,TENNESSEE,TN,2159825
2018,TEXAS,TX,8202708
2018,UTAH,UT,1052506
2018,VERMONT,VT,272451
2018,VIRGINIA,VA,3312956
2018,WASHINGTON,WA,3021951
2018,WEST VIRGINIA,WV,577991
2018,WISCONSIN,WI,2571655
2018,WYOMING,WY,201245
2020,ALABAMA,AL,2051659
2020,ALASKA,AK,353165
2020,ARIZONA,AZ,3268249
2020,ARKANSAS,AR,1179396
2020,CALIFORNIA,CA,16724901
2020,COLORADO,CO,3164950
2020,CONNECTICUT,CT,1772927
2020,DELAWARE,DE,488270
2020,DISTRICT OF COLUMBIA,DC,344177
2020,FLORIDA,FL,10464790
2020,GEORGIA,GA,4883611
2020,HAWAII,HI,579784
2020,IDAHO,ID,849909
2020,ILLINOIS,IL,5876819
2020,INDIANA,IN,2996444
2020,IOWA,IA,1700268
2020,KANSAS,KS,1358953
2020,KENTUCKY,KY,2115895
2020,LOUISIANA,LA,2147135
2020,MAINE,ME,828305
2020,MARYLAND,MD,2954170
2020,MASSACHUSETTS,MA,3658005
2020,MICHIGAN,MI,5423140
2020,MINNESOTA,MN,3193809
2020,MISSISSIPPI,MS,1227846
2020,MISSOURI,MO,2973421
2020,MONTANA,MT,601509
2020,NEBRASKA,NE,941298
2020,NEVADA,NV,1355607
2020,NEW HAMPSHIRE,NH,787102
2020,NEW JERSEY,NJ,4432923
2020,NEW MEXICO,NM,903684
2020,NEW YORK,NY,8690480
2020,NORTH CAROLINA,NC,5325245
2020,NORTH DAKOTA,ND,355598
2020,OHIO,OH,5761540
2020,OKLAHOMA,OK,1551383
2020,OREGON,OR,2308189
2020,PENNSYLVANIA,PA,6779307
2020,RHODE ISLAND,RI,488417
2020,SOUTH CAROLINA,SC,2505442
2020,SOUTH DAKOTA,SD,397732
2020,TENNESSEE,TN,2841744
2020,TEXAS,TX,11093626
2020,UTAH,UT,1432232
2020,VERMONT,VT,370968
2020,VIRGINIA,VA,4335436
2020,WASHINGTON,WA,3944233
2020,WEST VIRGINIA,WV,761385
2020,WISCONSIN,WI,3238051
2020,WYOMING,WY,278503
2022,ALABAMA,AL,1343710
2022,ALASKA,AK,263610
2022,ARIZONA,AZ,2360078
2022,ARKANSAS,AR,895102
2022,CALIFORNIA,CA,10656368
2022,COLORADO,CO,2472074
2022,CONNECTICUT,CT,1261351
2022,DELAWARE,DE,321649
2022,FLORIDA,FL,7332305
2022,GEORGIA,GA,3908686
2022,HAWAII,HI,419363
2022,IDAHO,ID,583628
2022,ILLINOIS,IL,4049405
2022,INDIANA,IN,1856549
2022,IOWA,IA,1230416
2022,KANSAS,KS,1001817
2022,KENTUCKY,KY,1463418
2022,LOUISIANA,LA,1133125
2022,MAINE,ME,691464
2022,MARYLAND,MD,1995728
2022,MASSACHUSETTS,MA,2511461
2022,MICHIGAN,MI,4375537
2022,MINNESOTA,MN,2495832
2022,MISSISSIPPI,MS,709100
2022,MISSOURI,MO,2060089
2022,MONTANA,MT,463632
2022,NEBRASKA,NE,663187
2022,NEVADA,NV,1009503
2022,NEW HAMPSHIRE,NH,617546
2022,NEW JERSEY,NJ,2609716
2022,NEW MEXICO,NM,704126
2022,NEW YORK,NY,5965824
2022,NORTH CAROLINA,NC,3760753
2022,NORTH DAKOTA,ND,238586
2022,OHIO,OH,4109711
2022,OKLAHOMA,OK,1146311
2022,OREGON,OR,1906940
2022,PENNSYLVANIA,PA,5152001
2022,RHODE ISLAND,RI,357823
2022,SOUTH CAROLINA,SC,1602341
2022,SOUTH DAKOTA,SD,327841
2022,TENNESSEE,TN,1710425
2022,TEXAS,TX,7751761
2022,UTAH,UT,1063258
2022,VERMONT,VT,291955
2022,VIRGINIA,VA,3047729
2022,WASHINGTON,WA,3026173
2022,WEST VIRGINIA,WV,472082
2022,WISCONSIN,WI,2531324
2022,WYOMING,WY,198198
2024,ALABAMA,AL,2235028
2024,ALASKA,AK,313470
2024,ARIZONA,AZ,3353102
2024,ARKANSAS,AR,1156146
2024,CALIFORNIA,CA,15357876
2024,COLORADO,CO,3105600
2024,CONNECTICUT,CT,1727031
2024,DELAWARE,DE,504109
2024,DISTRICT OF COLUMBIA,DC,315261
2024,FLORIDA,FL,10793163
2024,GEORGIA,GA,5211135
2024,HAWAII,HI,506705
2024,IDAHO,ID,880218
2024,ILLINOIS,IL,5479764
2024,INDIANA,IN,2900315
2024,IOWA,IA,1634297
2024,KANSAS,KS,1273453
2024,KENTUCKY,KY,2037151
2024,LOUISIANA,LA,1975375
2024,MAINE,ME,806892
2024,MARYLAND,MD,2938127
2024,MASSACHUSETTS,MA,3377853
2024,MICHIGAN,MI,5553169
2024,MINNESOTA,MN,3176011
2024,MISSISSIPPI,MS,1211662
2024,MISSOURI,MO,2929826
2024,MONTANA,MT,583985
2024,NEBRASKA,NE,934811
2024,NEVADA,NV,1456402
2024,NEW HAMPSHIRE,NH,814011
2024,NEW JERSEY,NJ,4188240
2024,NEW MEXICO,NM,902193
2024,NEW YORK,NY,7873210
2024,NORTH CAROLINA,NC,5613836
2024,NORTH DAKOTA,ND,358832
2024,OHIO,OH,5713815
2024,OKLAHOMA,OK,1535812
2024,OREGON,OR,2159035
2024,PENNSYLVANIA,PA,6966738
2024,RHODE ISLAND,RI,498041
2024,SOUTH CAROLINA,SC,2512199
2024,SOUTH DAKOTA,SD,418940
2024,TENNESSEE,TN,3023130
2024,TEXAS,TX,11228847
2024,UTAH,UT,1446384
2024,VERMONT,VT,355186
2024,VIRGINIA,VA,4410480
2024,WASHINGTON,WA,3776772
2024,WEST VIRGINIA,WV,747865
2024,WISCONSIN,WI,3365855
2024,WYOMING,WY,262160
